,codcliente,datalogger,distance_mt
0,1,TP-MP14,36.49212945998644
1,2,TP-MP14,37.91311359987932
2,3,TP-MP14,62.338170188187036
3,4,TP-MP14,68.82008013695203
4,5,TP-MP14,91.80949529497818
5,6,TP-MP14,82.86463559935964
6,7,TP-MP15,137.97480845422652
7,8,TP-MP15,133.52351627792657
8,9,TP-MP15,92.29594164847417
9,10,TP-MP15,76.01738441273876
10,11,TP-MP15,87.1112069655322
11,12,TP-MP15,107.35849442361047
12,13,TP-MP15,122.62865368871765
13,14,TP-MP15,119.14288796616418
14,15,TP-MP15,114.7035626815501
15,16,TP-MP15,83.71631242922534
16,17,TP-MP15,82.5442153953857
17,18,TP-MP15,113.40244972853682
18,19,TP-MP15,91.36399667292321
19,20,TP-MP15,141.1243845805059
20,21,TP-MP15,129.31351145708442
21,22,TP-MP15,116.00005467041231
22,23,TP-MP15,120.15372968825173
23,24,TP-MP15,82.55412567002111
24,25,TP-MP15,114.71828450343028
25,26,TP-MP15,91.4684136820109
26,27,TP-MP15,122.52865258872647
27,28,TP-MP15,124.2498103151296
28,29,TP-MP15,138.03797426935424
29,30,TP-MP15,89.01340444945444
30,31,TP-MP15,133.94891092587383
31,33,TP-MP14,170.27729767545117
32,34,TP-MP14,170.27729767545117
33,35,TP-MP14,155.23026589756896
34,36,TP-MP14,140.66269589442174
35,37,TP-MP14,61.04234543844296
36,38,TP-MP14,143.72655399374622
37,39,TP-MP14,78.30213851560256
38,40,TP-MP14,73.91875937790765
39,41,TP-MP14,73.91875937790765
40,42,TP-MP14,45.05186250028893
41,43,TP-MP14,70.02226967506385
42,44,TP-MP14,70.43038925398788
43,45,TP-MP14,72.55987998956924
44,46,TP-MP14,47.30062428984444
45,47,TP-MP14,74.12408494855559
46,48,TP-MP14,78.44373785205812
47,49,TP-MP14,39.31365075067712
48,50,TP-MP14,59.79744319650438
49,51,TP-MP14,81.49143032387502
50,52,TP-MP14,84.57079939929055
51,53,TP-MP14,89.4330239146546
52,54,TP-MP14,61.99998839709945
53,55,TP-MP14,94.44334172042224
54,56,TP-MP14,68.238715065033
55,57,TP-MP14,99.08136469071046
56,58,TP-MP14,103.98903149729718
57,59,TP-MP14,89.0702705015664
58,60,TP-MP14,94.85538859582822
59,61,TP-MP14,119.86819926826784
60,62,TP-MP14,105.26083471024637
61,63,TP-MP14,113.11215460811287
62,64,TP-MP15,123.70698631082342
63,65,TP-MP15,112.6153997019539
64,66,TP-MP15,107.6163330394477
65,67,TP-MP15,94.31996509350843
66,68,TP-MP15,82.86451973914505
67,69,TP-MP41,26.06595200062943
68,70,TP-MP17,12.92661470985184
69,71,TP-MP17,11.558106255902599
70,72,TP-MP17,15.102383248556462
71,73,TP-MP17,17.212293874566548
72,74,TP-MP17,25.846564343108223
73,75,TP-MP17,74.2183829614618
74,76,TP-MP17,90.09706552864188
75,77,TP-MP17,99.2328118799266
76,78,TP-MP17,103.31984859702271
77,79,TP-MP17,108.97751802436058
78,80,TP-MP17,114.76043728962766
79,81,TP-MP17,120.22262212317679
80,82,TP-MP17,106.44108968671993
81,83,TP-MP17,128.063027575591
82,84,TP-MP17,127.98410197098949
83,85,TP-MP17,137.9347879883889
84,86,TP-MP17,145.2361483623282
85,87,TP-MP17,149.1903768090174
86,88,BS-MP07,145.5771803335332
87,89,TP-MP17,166.62887444533644
88,90,TP-MP17,169.45056890936038
89,91,BS-MP07,157.6448109175777
90,92,BS-MP07,166.65654860727182
91,93,BS-MP07,161.18536169103146
92,94,TP-MP17,68.1375603100405
93,95,TP-MP17,72.84800989587436
94,96,TP-MP17,78.65736417617373
95,97,TP-MP17,102.09558973841392
96,98,TP-MP17,143.557366187753
97,99,TP-MP16,132.32373228736276
98,101,TP-MP17,135.94739366534023
99,102,TP-MP16,106.36817210099125
100,103,TP-MP16,141.20593399528596
101,104,TP-MP06,87.70270641678789
102,105,TP-MP16,142.50071775243995
103,106,TP-MP16,109.1161833883802
104,107,TP-MP16,110.51671547125183
105,108,TP-MP37,253.9192927024456
106,109,TP-MP16,150.5433742332389
107,110,TP-MP16,152.230614269016
108,111,TP-MP15,209.1430005809451
109,112,TP-MP16,184.20355634756876
110,113,TP-MP16,212.34204440237582
111,114,TP-MP16,242.11836683802997
112,115,TP-MP15,238.48076252075424
113,116,TP-MP15,233.953446181912
114,117,TP-MP15,226.34328090217045
115,118,TP-MP15,145.08170030681632
116,119,TP-MP15,142.26067265258106
117,120,TP-MP15,111.81532775084415
118,121,TP-MP15,77.52571777605257
119,122,TP-MP16,172.81044275484535
120,123,TP-MP15,238.3833715184143
121,124,TP-MP15,168.5934429029377
122,125,TP-MP36,224.11148376480156
123,126,TP-MP36,258.3145900175345
124,127,TP-MP36,258.3145900175345
125,128,TP-MP36,258.3145900175345
126,129,TP-MP36,253.52214861467712
127,131,TP-MP36,219.9393217808898
128,132,TP-MP36,211.58992914968027
129,133,TP-MP36,208.7451258192384
130,134,TP-MP36,207.7408350179075
131,135,TP-MP36,203.33637100615218
132,136,TP-MP36,166.15323318688255
133,137,TP-MP38,167.9972831526875
134,138,TP-MP38,174.830932502598
135,139,TP-MP36,167.34572562410992
136,140,TP-MP38,137.17236047465474
137,141,TP-MP38,91.37260327055942
138,142,TP-MP38,83.52433245979142
139,143,TP-MP38,73.3168143256211
140,144,TP-MP38,67.31525157894397
141,145,TP-MP38,56.98656942001682
142,146,TP-MP38,58.5594761441694
143,147,TP-MP38,51.51543413175479
144,148,TP-MP38,44.901094663514336
145,149,TP-MP38,26.206396457317673
146,150,TP-MP38,13.114849290795274
147,151,TP-MP38,9.370997447798324
148,152,TP-MP38,10.308992506298786
149,153,TP-MP38,36.3545766040802
150,154,TP-MP38,52.69294284233393
151,155,TP-MP38,52.96369615393834
152,156,TP-MP38,69.30910835987586
153,157,TP-MP38,88.8258588417432
154,158,TP-MP38,75.17229132788397
155,159,TP-MP38,95.21691382534958
156,160,TP-MP38,82.45478542209877
157,161,TP-MP38,86.87378353756951
158,162,TP-MP38,97.13964713016891
159,163,TP-MP38,100.85017536081499
160,164,TP-MP38,113.07931648068227
161,165,TP-MP38,115.67476767034276
162,166,TP-MP38,128.66900917868415
163,167,TP-MP38,154.57070501495343
164,168,TP-MP38,160.71942450634725
165,169,TP-MP38,168.54227634425314
166,170,TP-MP38,177.8098878855565
167,171,TP-MP38,160.71942450634725
168,172,TP-MP38,194.6618010014401
169,173,TP-MP38,200.6695649303878
170,174,TP-MP38,178.84642789281537
171,175,TP-MP38,188.18641404351686
172,176,TP-MP38,201.55680983239915
173,177,TP-MP38,210.29878771366242
174,178,TP-MP38,215.60070321773804
175,179,TP-MP38,238.68503734028326
